Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
"Aerospace Engineering (4 Years, Bachelor of Technology)",245.0,30.0,275.0,325,26,351,76.0
"Aerospace Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",12.0,0.0,12.0,12,0,12,0.0
"Aerospace Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12.0,0.0,12.0,12,0,12,0.0
"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",88.0,5.0,93.0,88,5,93,0.0
"Applied Geology (4 Years, Bachelor of Science)",52.0,0.0,52.0,52,0,52,0.0
"Applied Geology (5 Years, Integrated Master of Technology)",19.0,2.0,21.0,19,2,21,0.0
"Applied Geophysics (5 Years, Integrated Master of Technology)",19.0,2.0,21.0,19,2,21,0.0
"Architecture (5 Years, Bachelor of Architecture)",93.0,3.0,96.0,472,3,475,379.0
"Architecture (5 Years, Bachelor of Architecture) BIHAR",23.0,0.0,23.0,20,0,20,-3.0
"Architecture (5 Years, Bachelor of Architecture) CHHATTISGARH",20.0,0.0,20.0,20,0,20,0.0
"Architecture (5 Years, Bachelor of Architecture) HIMACHAL PRADESH",29.0,0.0,29.0,29,0,29,0.0
"Architecture (5 Years, Bachelor of Architecture) KERALA",29.0,0.0,29.0,30,0,30,1.0
"Architecture (5 Years, Bachelor of Architecture) MADHYA PRADESH",40.0,10.0,50.0,40,10,50,0.0
"Architecture (5 Years, Bachelor of Architecture) ODISHA",10.0,0.0,10.0,10,0,10,0.0
"Architecture (5 Years, Bachelor of Architecture) Other than BIHAR",22.0,0.0,22.0,20,0,20,-2.0
"Architecture (5 Years, Bachelor of Architecture) Other than CHHATTISGARH",20.0,0.0,20.0,20,0,20,0.0
"Architecture (5 Years, Bachelor of Architecture) Other than HIMACHAL PRADESH",29.0,0.0,29.0,29,0,29,0.0
"Architecture (5 Years, Bachelor of Architecture) Other than KERALA",30.0,0.0,30.0,29,0,29,-1.0
"Architecture (5 Years, Bachelor of Architecture) Other than MADHYA PRADESH",40.0,10.0,50.0,40,10,50,0.0
"Architecture (5 Years, Bachelor of Architecture) Other than ODISHA",10.0,0.0,10.0,10,0,10,0.0
"Architecture (5 Years, Bachelor of Architecture) Other than RAJASTHAN",39.0,0.0,39.0,39,0,39,0.0
"Architecture (5 Years, Bachelor of Architecture) Other than TAMIL NADU",28.0,0.0,28.0,28,0,28,0.0
"Architecture (5 Years, Bachelor of Architecture) RAJASTHAN",38.0,0.0,38.0,38,0,38,0.0
"Architecture (5 Years, Bachelor of Architecture) TAMIL NADU",29.0,0.0,29.0,29,0,29,0.0
"Artificial Intelligence (4 Years, Bachelor of Technology)",83.0,12.0,95.0,212,38,250,155.0
"Artificial Intelligence (4 Years, Bachelor of Technology) KARNATAKA",20.0,0.0,20.0,20,0,20,0.0
"Artificial Intelligence (4 Years, Bachelor of Technology) ODISHA",23.0,0.0,23.0,23,0,23,0.0
"Artificial Intelligence (4 Years, Bachelor of Technology) Other than KARNATAKA",20.0,0.0,20.0,20,0,20,0.0
"Artificial Intelligence (4 Years, Bachelor of Technology) Other than ODISHA",22.0,0.0,22.0,22,0,22,0.0
"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",50.0,0.0,50.0,50,0,50,0.0
"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",19.0,1.0,20.0,127,13,140,120.0
"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",20.0,0.0,20.0,20,0,20,0.0
"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology) RAJASTHAN",20.0,0.0,20.0,20,0,20,0.0
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",102.0,18.0,120.0,395,32,427,307.0
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",10.0,0.0,10.0,10,0,10,0.0
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) HARYANA",30.0,0.0,30.0,30,0,30,0.0
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",10.0,0.0,10.0,10,0,10,0.0
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) Other than HARYANA",30.0,0.0,30.0,30,0,30,0.0
"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) HARYANA",30.0,0.0,30.0,30,0,30,0.0
"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) Other than HARYANA",30.0,0.0,30.0,30,0,30,0.0
"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) Other than SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology) SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"B. Tech in CE. - M. Tech. in Geotechnical Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
"B. Tech in CE. - M. Tech. in Structural Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
"B. Tech. (CSE) and M.Tech in CSE (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
"B. Tech. (ME) - M. Tech. in Mechatronics (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
"B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
"B.Tech (Artificial Intelligence and Data Science) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
"B.Tech (Chemical Engineering) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
"B.Tech (Chemical Science and Technology) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
"B.Tech (Civil Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6.0,0.0,6.0,6,0,6,0.0
"B.Tech (Computer Science and Engineering) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
"B.Tech (Electrical and Electronics Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6.0,0.0,6.0,6,0,6,0.0
"B.Tech (Electronics and Communication Engineering) - MBA in Hospital and Healthcare Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
"B.Tech (Engineering Physics) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6.0,0.0,6.0,6,0,6,0.0
"B.Tech (Mathematics and Computing) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
"B.Tech (Mechanical Engineering) - MBA (IIM Mumbai) (5 Years, Bachelor of Technology and MBA (Dual Degree))",15.0,0.0,15.0,15,0,15,0.0
"B.Tech (Metallurgical and Materials Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6.0,0.0,6.0,6,0,6,0.0
"B.Tech in General Engineering (4 Years, Bachelor of Technology)",30.0,0.0,30.0,30,0,30,0.0
"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",30.0,0.0,30.0,30,0,30,0.0
"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",30.0,0.0,30.0,140,0,140,110.0
"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology) Other than WEST BENGAL",30.0,0.0,30.0,30,0,30,0.0
"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology) WEST BENGAL",30.0,0.0,30.0,30,0,30,0.0
"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",30.0,0.0,30.0,30,0,30,0.0
"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",10.0,0.0,10.0,26,4,30,20.0
"BS in Chemical Sciences (4 Years, Bachelor of Science)",30.0,0.0,30.0,30,0,30,0.0
"BS in Economics with MBA (IIM Bodh Gaya) (5 Years, Bachelor of Science and MBA (Dual Degree))",6.0,0.0,6.0,6,0,6,0.0
"BS in Mathematics (4 Years, Bachelor of Science)",18.0,0.0,18.0,18,0,18,0.0
"Bio Engineering (4 Years, Bachelor of Technology)",70.0,10.0,80.0,70,10,80,0.0
"Bio Medical Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",39.0,1.0,40.0,39,1,40,0.0
"Bio Medical Engineering (4 Years, Bachelor of Technology) ODISHA",17.0,0.0,17.0,17,0,17,0.0
"Bio Medical Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",40.0,0.0,40.0,40,0,40,0.0
"Bio Medical Engineering (4 Years, Bachelor of Technology) Other than ODISHA",18.0,0.0,18.0,18,0,18,0.0
"Bio Technology (4 Years, Bachelor of Technology) CHHATTISGARH",40.0,0.0,40.0,40,0,40,0.0
"Bio Technology (4 Years, Bachelor of Technology) KERALA",18.0,0.0,18.0,19,0,19,1.0
"Bio Technology (4 Years, Bachelor of Technology) ODISHA",17.0,0.0,17.0,17,0,17,0.0
"Bio Technology (4 Years, Bachelor of Technology) Other than CHHATTISGARH",39.0,0.0,39.0,39,0,39,0.0
"Bio Technology (4 Years, Bachelor of Technology) Other than KERALA",19.0,0.0,19.0,18,0,18,-1.0
"Bio Technology (4 Years, Bachelor of Technology) Other than ODISHA",18.0,0.0,18.0,18,0,18,0.0
"Bio Technology (4 Years, Bachelor of Technology) Other than PUNJAB",25.0,0.0,25.0,25,0,25,0.0
"Bio Technology (4 Years, Bachelor of Technology) Other than TELANGANA",36.0,0.0,36.0,36,0,36,0.0
"Bio Technology (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",29.0,1.0,30.0,29,1,30,0.0
"Bio Technology (4 Years, Bachelor of Technology) Other than WEST BENGAL",37.0,0.0,37.0,37,0,37,0.0
"Bio Technology (4 Years, Bachelor of Technology) PUNJAB",25.0,0.0,25.0,25,0,25,0.0
"Bio Technology (4 Years, Bachelor of Technology) TELANGANA",36.0,0.0,36.0,36,0,36,0.0
"Bio Technology (4 Years, Bachelor of Technology) UTTAR PRADESH",28.0,2.0,30.0,28,2,30,0.0
"Bio Technology (4 Years, Bachelor of Technology) WEST BENGAL",38.0,0.0,38.0,38,0,38,0.0
"Biological Engineering (4 Years, Bachelor of Technology)",40.0,1.0,41.0,30,0,30,-11.0
"Biological Science (4 Years, Bachelor of Science)",40.0,1.0,41.0,30,0,30,-11.0
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",42.0,11.0,53.0,42,11,53,0.0
"Biomedical Engineering (4 Years, Bachelor of Technology)",21.0,4.0,25.0,49,4,53,28.0
"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",123.0,7.0,130.0,118,7,125,-5.0
"Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than WEST BENGAL",3.0,0.0,3.0,3,0,3,0.0
"Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree)) WEST BENGAL",4.0,0.0,4.0,4,0,4,0.0
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",138.0,4.0,142.0,126,4,130,-12.0
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",19.0,6.0,25.0,23,7,30,5.0
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology) TRIPURA",19.0,6.0,25.0,23,7,30,5.0
"Ceramic Engineering (4 Years, Bachelor of Technology)",75.0,0.0,75.0,75,0,75,0.0
"Ceramic Engineering (4 Years, Bachelor of Technology) ODISHA",20.0,0.0,20.0,20,0,20,0.0
"Ceramic Engineering (4 Years, Bachelor of Technology) Other than ODISHA",20.0,0.0,20.0,20,0,20,0.0
"Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree)) ODISHA",7.0,0.0,7.0,7,0,7,0.0
"Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than ODISHA",6.0,0.0,6.0,6,0,6,0.0
"Chemical Engineering (4 Years, Bachelor of Technology)",1229.0,109.0,1338.0,1474,122,1596,258.0
"Chemical Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",39.0,0.0,39.0,39,0,39,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",38.0,0.0,38.0,38,0,38,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) KARNATAKA",29.0,0.0,29.0,29,2,31,2.0
"Chemical Engineering (4 Years, Bachelor of Technology) KERALA",58.0,0.0,58.0,58,0,58,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",31.0,8.0,39.0,29,7,36,-3.0
"Chemical Engineering (4 Years, Bachelor of Technology) ODISHA",31.0,1.0,32.0,31,0,31,-1.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",40.0,0.0,40.0,40,0,40,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",38.0,0.0,38.0,38,0,38,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than JAMMU & KASHMIR (UT) LADAKH (UT)",50.0,1.0,51.0,39,1,40,-11.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29.0,0.0,29.0,29,1,30,1.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than KERALA",58.0,0.0,58.0,58,0,58,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",31.0,8.0,39.0,28,7,35,-4.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than ODISHA",31.0,0.0,31.0,31,0,31,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",37.0,0.0,37.0,35,0,35,-2.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",57.0,0.0,57.0,57,0,57,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than TAMIL NADU",39.0,0.0,39.0,39,0,39,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than TELANGANA",55.0,0.0,55.0,49,0,49,-6.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",30.0,8.0,38.0,36,9,45,7.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",28.0,2.0,30.0,28,2,30,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",38.0,0.0,38.0,38,0,38,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) PUNJAB",37.0,0.0,37.0,35,0,35,-2.0
"Chemical Engineering (4 Years, Bachelor of Technology) RAJASTHAN",58.0,0.0,58.0,58,0,58,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) TAMIL NADU",40.0,0.0,40.0,40,0,40,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) TELANGANA",55.0,0.0,55.0,49,0,49,-6.0
"Chemical Engineering (4 Years, Bachelor of Technology) TRIPURA",29.0,8.0,37.0,37,8,45,8.0
"Chemical Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",29.0,1.0,30.0,29,1,30,0.0
"Chemical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",37.0,0.0,37.0,37,0,37,0.0
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",44.0,2.0,46.0,46,0,46,0.0
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) ODISHA",6.0,0.0,6.0,6,0,6,0.0
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than ODISHA",6.0,0.0,6.0,6,0,6,0.0
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than WEST BENGAL",3.0,0.0,3.0,3,0,3,0.0
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) WEST BENGAL",4.0,0.0,4.0,4,0,4,0.0
"Chemical Science and Technology (4 Years, Bachelor of Technology)",101.0,11.0,112.0,101,4,105,-7.0
"Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",35.0,0.0,35.0,35,0,35,0.0
"Chemical Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5.0,0.0,5.0,6,0,6,1.0
"Chemical Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5.0,0.0,5.0,6,0,6,1.0
"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",28.0,2.0,30.0,28,2,30,0.0
"Chemistry (4 Years, Bachelor of Science)",119.0,10.0,129.0,159,10,169,40.0
"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree)) Other than TRIPURA",13.0,0.0,13.0,20,0,20,7.0
"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree)) TRIPURA",12.0,0.0,12.0,20,0,20,8.0
"Chemistry (5 Years, Integrated Master of Science) ODISHA",11.0,0.0,11.0,11,0,11,0.0
"Chemistry (5 Years, Integrated Master of Science) Other than ODISHA",11.0,0.0,11.0,11,0,11,0.0
"Chemistry (5 Years, Integrated Master of Science) Other than WEST BENGAL",10.0,0.0,10.0,10,0,10,0.0
"Chemistry (5 Years, Integrated Master of Science) WEST BENGAL",9.0,0.0,9.0,9,0,9,0.0
"Chemistry with Specialization (4 Years, Bachelor of Science)",24.0,6.0,30.0,24,6,30,0.0
"Civil Engineering (4 Years, Bachelor of Technology)",1476.0,175.0,1651.0,2179,161,2340,689.0
"Civil Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Civil Engineering (4 Years, Bachelor of Technology) ASSAM",79.0,0.0,79.0,79,0,79,0.0
"Civil Engineering (4 Years, Bachelor of Technology) BIHAR",60.0,0.0,60.0,58,0,58,-2.0
"Civil Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",49.0,0.0,49.0,49,0,49,0.0
"Civil Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",4.0,0.0,4.0,4,0,4,0.0
"Civil Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",13.0,0.0,13.0,13,0,13,0.0
"Civil Engineering (4 Years, Bachelor of Technology) GOA",14.0,0.0,14.0,14,0,14,0.0
"Civil Engineering (4 Years, Bachelor of Technology) HARYANA",54.0,0.0,54.0,54,0,54,0.0
"Civil Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62.0,0.0,62.0,61,0,61,-1.0
"Civil Engineering (4 Years, Bachelor of Technology) JHARKHAND",50.0,0.0,50.0,50,0,50,0.0
"Civil Engineering (4 Years, Bachelor of Technology) KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"Civil Engineering (4 Years, Bachelor of Technology) KERALA",86.0,0.0,86.0,86,0,86,0.0
"Civil Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",45.0,12.0,57.0,41,10,51,-6.0
"Civil Engineering (4 Years, Bachelor of Technology) MANIPUR",19.0,0.0,19.0,19,0,19,0.0
"Civil Engineering (4 Years, Bachelor of Technology) MEGHALAYA",17.0,0.0,17.0,17,0,17,0.0
"Civil Engineering (4 Years, Bachelor of Technology) MIZORAM",17.0,1.0,18.0,15,2,17,-1.0
"Civil Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
"Civil Engineering (4 Years, Bachelor of Technology) ODISHA",36.0,0.0,36.0,36,0,36,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than ASSAM",78.0,0.0,78.0,78,0,78,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than BIHAR",60.0,0.0,60.0,58,0,58,-2.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",48.0,0.0,48.0,48,0,48,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12.0,0.0,12.0,12,0,12,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",19.0,0.0,19.0,19,0,19,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than HARYANA",54.0,0.0,54.0,54,0,54,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",61.0,0.0,61.0,62,0,62,1.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than JAMMU & KASHMIR (UT) LADAKH (UT)",88.0,3.0,91.0,82,3,85,-6.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than JHARKHAND",49.0,0.0,49.0,49,0,49,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",57.0,0.0,57.0,57,0,57,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than KERALA",86.0,0.0,86.0,86,0,86,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",45.0,11.0,56.0,40,10,50,-6.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than MANIPUR",19.0,0.0,19.0,19,0,19,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",16.0,0.0,16.0,16,0,16,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than MIZORAM",17.0,1.0,18.0,16,1,17,-1.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,0.0,18.0,18,0,18,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than ODISHA",36.0,0.0,36.0,36,0,36,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",23.0,0.0,23.0,22,0,22,-1.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",43.0,0.0,43.0,40,0,40,-3.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",58.0,0.0,58.0,58,0,58,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than TAMIL NADU",59.0,0.0,59.0,59,0,59,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than TELANGANA",55.0,0.0,55.0,55,0,55,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",46.0,13.0,59.0,47,13,60,1.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",58.0,3.0,61.0,58,3,61,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than UTTARAKHAND",14.0,4.0,18.0,18,0,18,0.0
"Civil Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",40.0,0.0,40.0,117,0,117,77.0
"Civil Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",22.0,0.0,22.0,23,0,23,1.0
"Civil Engineering (4 Years, Bachelor of Technology) PUNJAB",42.0,0.0,42.0,40,0,40,-2.0
"Civil Engineering (4 Years, Bachelor of Technology) RAJASTHAN",57.0,0.0,57.0,57,0,57,0.0
"Civil Engineering (4 Years, Bachelor of Technology) SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"Civil Engineering (4 Years, Bachelor of Technology) TAMIL NADU",59.0,0.0,59.0,59,0,59,0.0
"Civil Engineering (4 Years, Bachelor of Technology) TELANGANA",55.0,0.0,55.0,55,0,55,0.0
"Civil Engineering (4 Years, Bachelor of Technology) TRIPURA",46.0,13.0,59.0,47,13,60,1.0
"Civil Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",57.0,3.0,60.0,57,3,60,0.0
"Civil Engineering (4 Years, Bachelor of Technology) UTTARAKHAND",14.0,4.0,18.0,18,0,18,0.0
"Civil Engineering (4 Years, Bachelor of Technology) WEST BENGAL",40.0,0.0,40.0,118,0,118,78.0
"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5.0,0.0,5.0,6,0,6,1.0
"Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5.0,0.0,5.0,6,0,6,1.0
"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",76.0,14.0,90.0,76,14,90,0.0
"Computational Engineering (4 Years, Bachelor of Technology)",22.0,3.0,25.0,27,3,30,5.0
"Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than TRIPURA",13.0,0.0,13.0,13,0,13,0.0
"Computational and Data Science (4 Years, Bachelor of Technology) KARNATAKA",15.0,0.0,15.0,15,0,15,0.0
"Computational and Data Science (4 Years, Bachelor of Technology) Other than KARNATAKA",15.0,0.0,15.0,15,0,15,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology)",1781.0,236.0,2017.0,7102,649,7751,5734.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) ASSAM",81.0,0.0,81.0,80,0,80,-1.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) BIHAR",100.0,0.0,100.0,75,0,75,-25.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",57.0,0.0,57.0,57,0,57,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5.0,0.0,5.0,5,0,5,0.0
"Computer Science and Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",60.0,0.0,60.0,60,0,60,0.0
